,ProjGalaxyID,DescGalaxyID,DescID,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,DMmass,Gasmass,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,DispAnisotropy,DMEllipticity,StellarEllipticity,StellarCoRotKE,MedOrbitCircu,RotToDispRatio,Triaxiality,name1,filename,image
4328,1572034,1572044,1572043,1.2593315,,,2.6600387,,2575143200.0,5424035.5,300003520000.0,7230349300.0,1.3392595,4012172500.0,5.013685e-07,130.44328,43.730545,0.052190472379865294,,0.42915540941963215,0.4317598351546129,,,,,,RefL0050N0752,
4329,1573529,1573539,1573538,1.2593315,,,3.508628,,3850633700.0,3692082.5,227697850000.0,6493514000.0,1.7226189,6090525000.0,1.0715647e-07,135.09138,13.779194,0.6221905408951752,,0.4092396931859644,0.5714514338061614,,,,,,RefL0050N0752,
4330,1379599,1379609,1379608,1.2593315,,,3.7145863,,3752798700.0,9039921.0,237809800000.0,7578224600.0,2.014761,5847488500.0,3.6407386e-08,132.6683,19.888762,0.6909949248087739,,0.1241351230855775,0.6718919095545276,,,,,,RefL0050N0752,
4331,1815282,1815292,1815291,1.2593315,,,2.7890332,,7753510400.0,9073321.0,543223120000.0,15542297000.0,5.7358646,11923240000.0,3.6916729e-06,163.5135,15.721242,0.23574577937430685,,0.37489731475391186,0.4226087752367029,,,,,,RefL0050N0752,
4332,1373015,1373025,1373024,1.2593315,,,3.3282855,,2275892000.0,3638280.2,116689580000.0,5439893500.0,1.4556,3516230400.0,2.642957e-07,126.83722,13.133086,0.3650942175778539,,0.43345611856942956,0.643503212014024,,,,,,RefL0050N0752,
4333,1806294,1806304,1806303,1.2593315,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1806304.png,3.1712475,,22096738000.0,17864636.0,871991800000.0,26049978000.0,14.466168,35157946000.0,2.5804113e-05,208.02238,5.062076,0.5535858298165179,,0.36831886611632336,0.6088291809943398,,,,,galface_1806304.png,RefL0050N0752galface_1806304.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRefL0050N0752/RefL0050N0752galface_1806304.png
4334,1367615,1367625,1367624,1.2593315,,,5.3839455,,8207248000.0,9046310.0,772986040000.0,13686431000.0,4.4105287,14376503000.0,4.9422795e-08,190.3539,57.580494,0.3297444801868402,,0.6085768988767482,0.595161214688031,,,,,,RefL0050N0752,
4335,1365291,1365301,1365300,1.2593315,,,4.81005,,8327097000.0,11021626.0,420260840000.0,16402088000.0,5.3990602,12958895000.0,3.45103e-08,168.36183,20.027878,0.6258173106054652,,0.3505239888101822,0.6819149027163874,,,,,,RefL0050N0752,
4336,1390193,1390203,1390202,1.2593315,,,4.0395646,,4087587800.0,5484221.5,343728200000.0,7607339000.0,2.1472998,6693992400.0,3.0882566e-07,135.88327,67.12469,0.20945041371336193,,0.5539039217894696,0.6174545843591353,,,,,,RefL0050N0752,
4337,1612744,1612754,1612753,1.2593315,,,3.0633488,,5497357300.0,7258463.5,358164100000.0,10931571000.0,5.557495,8485260000.0,6.6645754e-08,158.62155,35.47816,0.23045819252571653,,0.5543856614589122,0.550152640164411,,,,,,RefL0050N0752,
