,DescGalaxyID,DMHalfMassRad,DMMass100AP,M500DM,R500DM,M200DMmean,R200DMmean
1085,1285422,71.590164,420745600000.0,529399400000.0,110.36942,836980050000.0,166.43088
1086,1285423,54.454803,368460230000.0,406962540000.0,95.766655,699028730000.0,148.86943
1087,1285424,48.353905,337600900000.0,332305730000.0,85.567154,491801200000.0,126.68422
1088,1285425,42.92771,336020640000.0,332836080000.0,81.5578,435710600000.0,118.580986
1089,1285426,41.710903,319190040000.0,297399600000.0,74.58575,423827280000.0,111.325745
1090,1285427,40.854214,309882780000.0,280959160000.0,69.286064,392784640000.0,102.83786
1091,1285428,45.169617,327304770000.0,263453080000.0,61.54146,400961830000.0,94.42288
1092,1285429,29.82324,298423220000.0,311557230000.0,59.95731,381302370000.0,86.332306
1093,1285430,34.711636,201783000000.0,137705130000.0,41.949455,240986210000.0,67.45847
1094,1285431,25.805727,155915730000.0,132028540000.0,37.898937,188796730000.0,57.35446
1095,1285432,23.873178,131280626000.0,91035900000.0,31.313375,150338670000.0,49.764397
1096,1285433,24.226446,113955580000.0,68797360000.0,26.650764,128716200000.0,44.20939
1097,1286743,60.073742,339152100000.0,380025440000.0,102.464676,638756400000.0,153.08136
1098,1286744,53.737896,340296140000.0,363835950000.0,97.39701,560950740000.0,144.21867
1099,1286745,48.977406,333645300000.0,340967520000.0,90.282455,505146900000.0,134.72409
1100,1286746,47.725533,322525100000.0,321890420000.0,84.664314,467194840000.0,125.314026
1101,1286747,41.575775,311424250000.0,304399220000.0,79.165474,429660180000.0,116.9511
1102,1286748,38.414402,305345500000.0,303827700000.0,75.1203,406603760000.0,109.90202
1103,1286749,36.992516,286255940000.0,267524820000.0,68.161514,389250900000.0,101.99444
1104,1286750,32.09191,266933710000.0,260604790000.0,61.320076,350044900000.0,90.498184
1105,1286751,30.851164,248610080000.0,223696830000.0,53.68977,318358700000.0,80.91866
1106,1286752,33.100544,262037700000.0,205709620000.0,47.954964,307898650000.0,73.62492
1107,1286753,25.360432,230732400000.0,218896730000.0,44.853363,292299500000.0,66.46428
1108,1286754,28.761003,153569540000.0,99299530000.0,32.233624,224086470000.0,56.624126
1109,1288285,57.568638,452235100000.0,653706800000.0,102.13705,914849100000.0,150.05287
1110,1288287,69.81089,237751620000.0,212043870000.0,63.07942,543277320000.0,112.41521
1111,1288288,41.893776,195229160000.0,172508220000.0,53.440914,487757680000.0,97.08278
1112,1288290,25.9734,174753200000.0,160796880000.0,44.17299,262538950000.0,68.1816
1113,1288292,20.471268,62193720000.0,41650192000.0,24.128075,63123034000.0,37.20715
1114,1288293,14.47503,44985012000.0,34944946000.0,21.263891,50480714000.0,32.400497
1115,1289454,111.38811,463025700000.0,648913100000.0,134.45337,2303686600000.0,206.39224
1116,1289455,83.05914,492353260000.0,747189100000.0,136.41824,1954302000000.0,227.9562
1117,1289456,82.68849,472798300000.0,645970460000.0,126.302986,1526777900000.0,190.04163
1118,1289457,74.858185,473729070000.0,595442400000.0,119.0086,969990600000.0,178.12029
1119,1289458,64.87275,481678950000.0,582319700000.0,113.92766,879703500000.0,169.30083
1120,1289459,59.926678,461367870000.0,533456030000.0,104.80612,763551350000.0,153.7759
1121,1289460,58.10572,430595770000.0,471766100000.0,96.17134,720600240000.0,143.63577
1122,1289461,60.902683,405514680000.0,409465500000.0,87.39021,659060360000.0,132.8158
1123,1289462,62.254185,425748270000.0,404247940000.0,82.62291,673807860000.0,128.00488
1124,1289463,57.145145,429509940000.0,464461370000.0,81.92213,663316400000.0,122.382416
1125,1289465,45.48637,234115990000.0,157688090000.0,47.782887,301160600000.0,78.46006
1126,1289466,35.723007,194909210000.0,166336530000.0,44.6755,274810080000.0,70.821014
1127,1289467,30.85666,147267750000.0,104624280000.0,35.0711,194922230000.0,57.64685
1128,1289468,18.513748,84308115000.0,81661256000.0,30.199377,117637240000.0,45.67672
1129,1289469,16.602259,71791820000.0,68609370000.0,26.626526,107016356000.0,41.522713
1130,1291125,62.211292,339316930000.0,384510620000.0,102.86415,639005000000.0,152.85701
1131,1291126,61.21516,327120550000.0,346655200000.0,95.84089,609379160000.0,144.69539
1132,1291127,53.945805,336893150000.0,349476260000.0,91.027336,545456880000.0,136.61647
1133,1291128,50.43279,336873750000.0,350887580000.0,87.13533,515687840000.0,129.03708
1134,1291129,47.03593,320896340000.0,314750100000.0,80.05058,499771970000.0,122.461494
1135,1291130,44.733734,308370340000.0,287196580000.0,73.724144,450407800000.0,112.17573
1136,1291131,41.601883,301758320000.0,264416480000.0,67.8963,405526120000.0,102.53699
1137,1291132,37.510372,286566150000.0,252293870000.0,60.660847,371331270000.0,91.95899
1138,1291133,34.20272,265304930000.0,226115010000.0,53.88411,326905700000.0,81.292465
1139,1291134,31.127403,239991160000.0,200453550000.0,47.540195,292378840000.0,72.14132
1140,1291135,28.896091,228783690000.0,174477000000.0,41.58958,269449250000.0,64.46684
