,z,face,StarmassType,name1,filename
214,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1265660.png,27671265000.0,galface_1265660.png,RefL0050N0752galface_1265660.png
215,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_434818.png,25466507000.0,galface_434818.png,RefL0050N0752galface_434818.png
216,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2371103.png,27423144000.0,galface_2371103.png,RefL0050N0752galface_2371103.png
217,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2348977.png,27591623000.0,galface_2348977.png,RefL0050N0752galface_2348977.png
218,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1383083.png,27743607000.0,galface_1383083.png,RefL0050N0752galface_1383083.png
219,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2285011.png,51124662000.0,galface_2285011.png,RefL0050N0752galface_2285011.png
220,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2336520.png,27647072000.0,galface_2336520.png,RefL0050N0752galface_2336520.png
221,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1308772.png,29420108000.0,galface_1308772.png,RefL0050N0752galface_1308772.png
222,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2347920.png,33455114000.0,galface_2347920.png,RefL0050N0752galface_2347920.png
223,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1081404.png,27441172000.0,galface_1081404.png,RefL0050N0752galface_1081404.png
224,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1391800.png,29815814000.0,galface_1391800.png,RefL0050N0752galface_1391800.png
225,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1105938.png,29991786000.0,galface_1105938.png,RefL0050N0752galface_1105938.png
226,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2241322.png,31879752000.0,galface_2241322.png,RefL0050N0752galface_2241322.png
227,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2325852.png,31549050000.0,galface_2325852.png,RefL0050N0752galface_2325852.png
228,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2235556.png,33293298000.0,galface_2235556.png,RefL0050N0752galface_2235556.png
229,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1272609.png,29088096000.0,galface_1272609.png,RefL0050N0752galface_1272609.png
230,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2218283.png,29427450000.0,galface_2218283.png,RefL0050N0752galface_2218283.png
231,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1298133.png,33671231000.0,galface_1298133.png,RefL0050N0752galface_1298133.png
232,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1343641.png,29043028000.0,galface_1343641.png,RefL0050N0752galface_1343641.png
233,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2350931.png,30661790000.0,galface_2350931.png,RefL0050N0752galface_2350931.png
234,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2323926.png,30237815000.0,galface_2323926.png,RefL0050N0752galface_2323926.png
235,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1269163.png,31574233000.0,galface_1269163.png,RefL0050N0752galface_1269163.png
236,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2357508.png,32285663000.0,galface_2357508.png,RefL0050N0752galface_2357508.png
237,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1043002.png,33399224000.0,galface_1043002.png,RefL0050N0752galface_1043002.png
238,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1254392.png,29978434000.0,galface_1254392.png,RefL0050N0752galface_1254392.png
239,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1159162.png,38058324000.0,galface_1159162.png,RefL0050N0752galface_1159162.png
240,2.220446e-16,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_2364006.png,31173540000.0,galface_2364006.png,RefL0050N0752galface_2364006.png
