,DescGalaxyID,SF_MassWeightedTemperature,NSF_MassWeightedTemperature
756,1186150,11983.574,62615.68
757,1186151,10396.293,53735.85
758,1188160,7626.1606,249960.36
759,1188161,6294.1626,222660.77
760,1188162,7806.2446,208464.48
761,1188163,12791.64,215502.42
762,1188164,9926.828,179726.55
763,1188165,14987.66,258892.27
764,1188167,16313.677,178315.33
765,1188168,26489.258,175022.97
766,1188169,21786.797,155697.61
767,1188170,12907.39,151097.64
768,1189606,7923.9585,341078.72
769,1189607,8138.0156,305661.12
770,1189608,7914.428,250839.08
771,1189609,8267.467,228814.66
772,1189610,9062.834,214401.67
773,1189611,10072.428,211174.69
774,1189612,9466.806,172300.23
775,1189613,9312.578,130217.63
776,1189614,9897.847,89765.62
777,1189615,12519.471,87937.77
778,1189616,11511.548,78368.87
779,1189617,12472.067,86423.63
780,1189618,11853.501,67511.36
781,1191648,6756.265,228407.75
782,1191649,10522.242,221238.23
783,1191650,8186.4414,171087.02
784,1191651,10606.941,123648.03
785,1191652,12328.796,113332.71
786,1191653,9334.388,115572.66
787,1191654,8581.002,97326.664
788,1191655,9088.412,91471.95
789,1191656,9491.796,70684.26
790,1191657,9773.691,46511.152
791,1191658,8847.959,36164.297
792,1191659,9186.595,39878.484
793,1191660,10299.911,41750.25
794,1191661,10583.734,40724.715
795,1242158,13901.139,658874.44
796,1242159,11016.272,523721.28
797,1242160,11809.293,293711.62
798,1242161,10385.765,126010.23
799,1242162,12206.488,98335.98
800,1242163,12510.025,96239.54
801,1242164,15444.548,85525.35
802,1242165,12794.6,84278.76
803,1244189,8173.0576,111879.56
804,1244190,8687.342,107164.234
805,1244191,9281.733,95342.67
806,1244192,12060.71,91732.93
807,1244193,11333.056,89831.03
808,1244194,20469.742,109683.695
809,1244195,13145.885,95495.67
810,1244196,13385.683,110264.79
811,1244197,12862.19,76532.05
812,1244198,10665.598,65370.707
813,1244199,10829.111,48704.195
814,1245233,14151.092,1258045.2
815,1245234,23866.936,1271545.1
816,1245235,32244.97,1239002.4
817,1245236,37087.043,1372310.6
818,1245237,28238.363,1013752.44
819,1245238,16581.068,683559.1
820,1245239,14841.831,410554.6
821,1245240,16143.835,221871.44
822,1245241,13558.949,172902.92
823,1245242,20066.113,148279.72
824,1247905,9536.836,302393.62
825,1247906,9251.593,249656.89
826,1247907,8948.076,106464.78
827,1247908,9515.383,96233.51
828,1247909,9262.513,73335.484
829,1247910,11786.996,63424.855
830,1247911,11734.278,62575.17
831,1247912,11621.016,65038.55
832,1248936,9619.342,277619.12
833,1248937,7879.277,261215.92
834,1248938,7042.25,199017.58
835,1248939,8021.2476,149026.3
836,1248940,7720.036,156431.67
837,1248941,10688.157,161163.28
838,1248942,10636.672,146565.4
839,1248943,10527.147,123085.97
840,1248944,9572.847,84098.77
841,1248945,10394.612,57159.215
842,1248946,10033.662,51663.12
843,1248947,9759.743,49782.234
844,1248948,10576.222,44199.43
845,1249870,7461.684,266126.53
846,1249872,11302.682,233864.5
847,1249873,11232.107,200472.52
848,1249874,13135.57,133036.69
849,1249875,8131.368,112175.695
850,1249876,10179.614,82663.93
851,1249877,10522.655,61799.586
852,1249878,10614.972,50678.18
853,1249879,10747.079,48226.8
854,1249880,11871.339,59545.973
855,1249881,11007.631,76920.27
856,1250872,6860.3076,174089.98
857,1250873,7320.1523,159233.98
858,1250874,8439.068,130922.336
859,1250875,8777.207,120141.53
860,1250876,10661.85,113009.8
861,1250877,9285.782,124342.17
862,1250878,9992.807,100807.92
863,1250879,9831.445,57223.598
864,1250880,11389.126,57550.91
865,1250881,10604.88,56221.676
866,1250882,10212.206,50263.258
867,1252276,6932.026,1893647.5
868,1252279,5751.7583,887341.7
869,1252280,7866.174,732619.1
870,1252281,7287.8403,634188.9
871,1252282,8950.282,554302.75
872,1252283,12392.172,539277.94
