,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,Gasmass,DMmass,M200,R200,SF_MassFromSNII,NSF_MassFromSNII,Stars_MassFromSNII,SF_MassFromSNIa,NSF_MassFromSNIa,Stars_MassFromSNIa,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,KappaCoRot,DMEllipticity,StellarEllipticity,name1,filename,image
29,2.220446e-16,0.022754809,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_526939.png,3.7990737,75.51123,11288633000.0,5423863.0,1552210600.0,24470297000.0,1530103200000.0,242.89119,319558460.0,6646476.5,2368900000.0,4258712.5,88395.836,26721876.0,0.60450584,20075230000.0,2.48997e-07,135.90688,7.399773,0.5770320010876404,0.49913376746406934,0.28905158016588184,0.5957644447874928,galface_526939.png,RefL0050N0752galface_526939.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_526939.png
30,2.220446e-16,0.021518316,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1510129.png,3.2409282,74.99501,11322012000.0,9079691.0,4157336000.0,611961000000.0,609164300000.0,178.6734,204358720.0,321551300.0,2307019800.0,3587093.0,4173325.8,25069358.0,0.6435769,20561230000.0,1.4949816e-06,151.20457,17.266827,0.11683929269539828,0.22930447310049143,0.44928668631733015,0.46984505134604626,galface_1510129.png,RefL0050N0752galface_1510129.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1510129.png
31,2.220446e-16,0.018347623,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1479889.png,9.6663685,80.66625,11416273000.0,7322855.0,5180736000.0,712682800000.0,719495560000.0,188.86378,469782500.0,379764100.0,2148977400.0,6715360.0,5826595.5,23046652.0,0.80230254,21962113000.0,1.3034329e-09,158.53754,26.781605,0.7485400302421381,0.6460485917152753,0.3320922367201846,0.6897791165273377,galface_1479889.png,RefL0050N0752galface_1479889.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1479889.png
32,2.220446e-16,0.021047195,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1572722.png,4.6761923,70.96148,11435148000.0,5703794.5,1885807400.0,483094430000.0,449761900000.0,161.49661,260250770.0,126826120.0,2266482700.0,3571440.8,1764442.6,23055064.0,0.7369881,20254433000.0,1.3266007e-06,137.60542,11.293502,0.6990216375021466,0.6033739485350822,0.36342781197931484,0.6512899071089693,galface_1572722.png,RefL0050N0752galface_1572722.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1572722.png
33,2.220446e-16,0.019061234,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1477184.png,5.8720703,69.05059,11442430000.0,12678211.0,3581087200.0,661114900000.0,627341600000.0,180.43976,386925060.0,252829090.0,2133551000.0,6042992.5,3690467.8,21387954.0,0.7282616,20803772000.0,5.266857e-05,144.03845,28.37275,0.5315485785858967,0.5028546990111852,0.4768594702306542,0.6816483247841956,galface_1477184.png,RefL0050N0752galface_1477184.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1477184.png
34,2.220446e-16,0.019601962,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1292258.png,9.289662,73.36154,11470881000.0,10870695.0,2615358500.0,363913200000.0,1243683000000.0,226.67386,351606460.0,193271340.0,2183755300.0,5357626.0,3380413.5,22915504.0,0.56908023,20847045000.0,2.0082336e-08,143.041,20.632704,0.8285929504843235,0.7065421916581641,0.4945154713547639,0.7620394508707053,galface_1292258.png,RefL0050N0752galface_1292258.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1292258.png
35,2.220446e-16,0.020618604,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1122940.png,5.690439,65.36167,11478949000.0,10874950.0,513917020.0,213029260000.0,24837504000000.0,614.9662,109160990.0,32385666.0,2274299000.0,2456720.5,1320578.6,24155966.0,0.15139171,20919886000.0,9.6552036e-08,131.16858,20.994408,0.6669249233420016,0.5144523853709065,0.19197295825641814,0.5828832371773176,galface_1122940.png,RefL0050N0752galface_1122940.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1122940.png
36,2.220446e-16,0.020037498,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1139742.png,4.5847254,67.807045,11534114000.0,10876933.0,3915758800.0,282494270000.0,30003532000000.0,654.9659,409503780.0,175965890.0,2279178200.0,5382566.5,2216195.2,22447586.0,0.8659137,21140627000.0,1.1795468e-08,139.13739,22.348173,0.5675579885917138,0.493447846313397,0.2059931802981596,0.5005167946920481,galface_1139742.png,RefL0050N0752galface_1139742.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1139742.png
37,2.220446e-16,0.017688094,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1479010.png,10.729627,73.80585,11565100000.0,9098976.0,6080808400.0,636722150000.0,644993250000.0,182.1106,638756030.0,370652060.0,2015806300.0,8443147.0,4952767.0,19136088.0,1.3700309,20893500000.0,2.8155134e-07,141.26541,26.442465,0.8598663013039314,0.7317143450139902,0.42933495182293124,0.7802458781567012,galface_1479010.png,RefL0050N0752galface_1479010.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1479010.png
38,2.220446e-16,0.021232104,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1455857.png,3.6970308,73.57446,11607991000.0,5554637.0,4182341400.0,716667500000.0,651426300000.0,182.71318,244100500.0,331079940.0,2321820200.0,3914426.8,3843942.2,25251464.0,0.5329355,20831783000.0,6.5069616e-09,147.77824,20.618382,0.4254136638981497,0.4195961593579433,0.3717958932410219,0.5303098188258297,galface_1455857.png,RefL0050N0752galface_1455857.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1455857.png
