,Unnamed: 0,ProjGalaxyID,DescGalaxyID,DescID,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,DMmass,Gasmass,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,DispAnisotropy,DMEllipticity,StellarEllipticity,StellarCoRotKE,MedOrbitCircu,RotToDispRatio,Triaxiality,name1,filename,image,btdradius,btdintensity,n_total,n_disc,n_bulge,n_bulge_exp,n_total_error,n_disc_error,n_bulge_error,n_bulge_exp_error,star_count,discradius,bulgeradius,disc_intensity,bulge_intensity,btotalintensity,btotalradius,con,r80,r20,asymm,morph_c,morph_asymm,morph_sersic_n,morph_smoothness,morph_sersic_rhalf,morph_xc_asymmetry,morph_yc_asymmetry
76747,280,1285418,1286242,1286241,0.7356295999999999,,,2.6872327,,1426065300.0,1807953.0,58538690000.0,,0.33855116,2360951000.0,6.655123e-08,97.05599000000001,16.342062,0.1307493412576175,,,0.4693981224059178,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
77107,281,1285418,1286243,1286242,0.86505055,,,2.7372742000000003,,1313226000.0,1807953.0,57588572000.0,,0.2670817,2146317600.0,6.457630499999999e-08,96.40271,14.509398999999998,0.04335830318758549,,,0.4739182811436106,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
77467,282,1285418,1285426,1285425,0.86505055,,,3.4761038,,4884866000.0,7253944.0,121575880000.0,,2.0269918000000002,7910430000.0,1.6868957e-05,138.4231,11.718848,0.34851300854971307,,,0.5535492132312679,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
77827,283,1285418,1285427,1285426,1.0041216999999998,,,3.3927983999999998,,4214795800.0,7253944.0,120528810000.0,,2.1137040000000002,6685901000.0,6.051193000000001e-07,137.93192,21.172972,0.26022093278085323,,,0.5153540601498422,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
78187,284,1285418,1286244,1286243,1.0041216999999998,,,2.7186793999999996,,1211785900.0,1807953.0,56066450000.0,,0.21304286,1949709000.0,7.412607e-11,95.39283,15.67936,0.19790986546472975,,,0.5003324495172301,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
78547,285,1285418,1286245,1286244,1.2593315,,,2.7966826,,996235840.0,1807953.0,58567780000.0,,0.41717216,1559368100.0,5.5594409999999995e-09,96.556145,17.85558,0.07876369084966284,,,0.5081850964246077,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
78907,286,1285418,1285428,1285427,1.2593315,,,3.3541794,,2956008200.0,5443834.0,112695210000.0,,1.424347,4578969600.0,2.175417e-08,133.5812,31.846970000000002,0.18821814298828501,,,0.5194436662184218,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
79267,287,1285418,1285429,1285428,1.4867073,,,2.6347337000000004,,1751629600.0,3635877.8,150593140000.0,,2.298517,2673455400.0,1.0117770399999999e-07,154.96077,35.36732,0.3780019285776226,,,0.4731487312153974,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
79627,288,1285418,1286246,1286245,1.4867073,,,2.8846285,,838241700.0,1807953.0,57578877000.0,,0.50991565,1287464400.0,2.8888131000000002e-08,96.41065,14.901643,0.08239063877214514,,,0.5555836305439754,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
79987,289,1285418,1286247,1286246,1.7369658,,,2.891248,,658668600.0,1807953.0,54757618000.0,,0.33344182,990060540.0,8.596317e-10,96.27256,13.460132000000002,0.17310703303491234,,,0.5494169028917211,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
80347,290,1285418,1285430,1285429,1.7369658,,,2.6326834999999997,,1160307700.0,3635877.8,88176440000.0,,0.84322715,1736810100.0,7.242574000000001e-09,121.29498999999998,13.925031,0.1845513242309728,,,0.428972703446492,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
80707,291,1285418,1285431,1285430,2.0124101999999997,,,2.4519757999999996,,720314800.0,1807953.0,92306530000.0,,1.0899044,1056662100.0,2.3426732999999998e-11,120.91185,15.627070000000002,0.21263810370768035,,,0.6490313018382944,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
81067,292,1285418,1286248,1286247,2.0124101999999997,,,2.9098265,,492766100.0,1807953.0,51713376000.0,,0.5989682,730787400.0,2.0148934e-09,97.571625,8.925566,0.21677952918386198,,,0.5528359788223409,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
81427,293,1285418,1285432,1285431,2.237037,,,2.2419875,,499316400.0,1807953.0,78510480000.0,,0.82063276,731865340.0,1.4907407e-08,114.823006,14.783415,0.2324919493548225,,,0.4341609080699483,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
81787,294,1416786,1416786,1416786,2.220446e-16,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1416786.png,6.252339,,11805836000.0,7260201.0,120586985000.0,,2.1495439999999997,20865420000.0,1.0273121999999999e-06,143.35173,66.99121,0.8087877936943909,,,0.6977467836425575,,,,,galface_1416786.png,RefL0050N0752galface_1416786.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_1416786.png,0.2054515299255614,0.38246542800225847,1.319665339132872,1.66542335146711,0.00016903583433500874,0.00016903583433500874,6.631200069943702e-05,0.006320891845322264,0.0,2288414444802.081,63,70.744384765625,14.534542083740234,6716.9485379648795,2569.000597441882,0.3181813721484357,0.05677555501461029,1.9323009549430379,111.38461538461539,45.747252747252745,0.2722136386337686,2.5176217158132594,0.09704858576293894,0.8913824560322281,-0.0238122554908783,6.8320492078549835,126.24992782759153,124.22014967759138
81788,295,1416786,1416787,1416786,0.10063854,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1416787.png,6.1708794000000005,,10081318000.0,3644294.2,114110685000.0,,2.0863519,17665257000.0,1.7868302e-07,138.29102,25.03687,0.7762581726892798,,,0.6732837619751129,,,,,galface_1416787.png,RefL0050N0752galface_1416787.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_1416787.png,0.2026777578259005,0.3892635281863693,1.3379562236401272,1.5663143486672921,0.0031936414746916346,0.0031936414746916346,9.886733043368049e-05,0.005039515660196852,0.0,0.0,103,74.5830078125,15.116316795349121,7228.807852521935,2813.91124925402,0.33527082377444295,0.059048112481832504,1.827439924454498,115.36263736263737,49.72527472527473,0.35633666752396237,2.537758197290929,0.1824314113652539,1.0282801810419622,-0.04962667488165371,7.900908020129692,127.25398725129207,129.72176112266743
81789,296,1416786,1416788,1416787,0.18270987,,,6.0891660000000005,,8658428000.0,5452247.0,123262810000.0,,2.1787097,14878511000.0,4.1270810000000005e-09,143.21333,25.030823,0.7482670714293668,,,0.6599294358319399,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
82149,297,1416786,1416789,1416788,0.27090108,,,5.4768066,,7173475000.0,5452247.0,118880666000.0,,1.9115471999999998,12408183000.0,1.6265842e-06,141.09808,86.27224,0.6937362972690386,,,0.6483517804518092,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
82509,298,1416786,1417650,1417649,0.27090108,,,3.0272064,,556605100.0,1807954.2,8211704000.0,,0.14447524,912171650.0,2.9211900000000002e-08,60.894318000000005,6.8106003,0.2880116336577826,,,0.338366209243541,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
82869,299,1416786,1417651,1417650,0.36566857,,,2.6355565,,492932130.0,1807954.2,15880486000.0,,0.10760045,807387650.0,6.4795094e-09,65.72995,8.74196,0.14385234112041612,,,0.30914642381654545,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
83229,300,1416786,1416790,1416789,0.36566857,,,5.048183,,6350324700.0,3625192.2,102854750000.0,,1.2687298999999999,10892174000.0,1.14180585e-08,129.84073999999998,24.62133,0.7092673408040762,,,0.6489869603051655,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
83589,301,1416786,1416791,1416790,0.5031073,,,4.944792,,5523468000.0,1817239.5,100334035000.0,,1.0319186,9241899000.0,1.5262161e-07,127.52788500000001,31.90294,0.6756792121777933,,,0.6136270560901138,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
83949,302,1416786,1417652,1417651,0.5031073,,,2.3012967,,427639260.0,1807954.2,22017450000.0,,0.059032957999999996,694241700.0,8.102231e-09,66.59798,9.832193,0.10055188426008288,,,0.14975552938127867,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
84309,303,1416786,1417653,1417652,0.6151898,,,1.9582698,,397488100.0,1807954.2,23248720000.0,,0.17886760000000002,628818370.0,3.4913242e-07,66.75766,13.182547,0.0825438482688089,,,0.20164822376727587,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
84669,304,1416786,1416792,1416791,0.6151898,,,4.35841,,4932750000.0,1817239.5,100702446000.0,,1.6101315,7989813000.0,1.1024848e-09,128.18046999999999,18.879623000000002,0.6587716469079153,,,0.6150330422487433,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
85029,305,1416786,1416793,1416792,0.7356295999999999,,,3.8196898,,4083894500.0,3625192.2,115787930000.0,,2.3794858,6508094500.0,8.4112216e-08,141.11945,53.182938,0.5955653957219906,,,0.6242123983159558,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
85389,306,1416786,1416794,1416793,0.86505055,,,3.4036305000000002,,3048221200.0,3625192.2,111822660000.0,,2.353703,4823386000.0,3.202097e-07,134.25269,38.559546999999995,0.4359567569512327,,,0.5707868047057827,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
85749,307,1416786,1416795,1416794,1.0041216999999998,,,2.8225729999999998,,2333626400.0,1817239.5,90319050000.0,,1.28607,3692541400.0,9.632513e-08,122.05965400000001,21.680011999999998,0.2595695355494708,,,0.5221668764424165,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
86109,308,1416786,1416796,1416795,1.2593315,,,2.3002186,,1723700900.0,3625192.2,94022550000.0,,0.9729606,2683525400.0,9.732179e-07,121.8511,25.365364000000003,0.1280123683802611,,,0.5000463178784307,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
86469,309,1416786,1416797,1416796,1.4867073,,,2.4180377,,1376257700.0,1817239.5,77376160000.0,,0.8161795999999999,2112477600.0,7.073634e-10,112.70816,10.953674000000001,0.2073489223415608,,,0.5266184528361855,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
86829,310,1416786,1416798,1416797,1.7369658,,,2.3814740000000003,,1050372200.0,1817239.5,75921920000.0,,0.6902208000000001,1589693200.0,2.2600007e-08,110.125175,13.581142999999999,0.3595877883345381,,,0.3878781158783836,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
87189,311,1416786,1416799,1416798,2.0124101999999997,,,2.1098863999999997,,829596600.0,1817239.5,76057630000.0,,0.90260905,1227029200.0,9.306628399999999e-08,111.13513999999999,11.459493,0.3959009536494232,,,0.3521712627379849,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
87549,312,1416786,1416800,1416799,2.237037,,,2.4395485,,653296300.0,1817239.5,74118630000.0,,0.7648665,954507650.0,3.2917946e-08,110.069855,11.961527,0.3527072105297102,,,0.4214128778271763,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
87909,313,1416786,1416801,1416800,2.4784132999999997,,,2.3330827000000003,,500301400.0,1817239.5,76222450000.0,,0.68664134,723090500.0,1.1642072e-08,109.99896000000001,22.026096,0.32711148412760993,,,0.4611939488628398,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
88269,314,1459291,1459291,1459291,2.220446e-16,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1459291.png,4.268050700000001,,18206444000.0,1816018.6,169323970000.0,,0.7134149000000001,32721881000.0,7.3442925e-07,181.16061000000002,9.127322999999999,0.7020224625523214,,,0.6913574306785852,,,,,galface_1459291.png,RefL0050N0752galface_1459291.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_1459291.png,0.3441847098386825,0.6322470096497868,1.599605979178216,3.970257290666742,0.00010214668527386978,0.00010214668527386978,0.00011615469659928048,0.43503528166270083,0.0,0.0,3,56.50672149658203,19.448749542236328,4977.776753175736,3147.184466899584,0.5730179848582807,0.07597167789936066,2.1682778046928606,94.4836956521739,34.80978260869565,0.18689156162345433,,,,,,,
88270,315,1459291,1459292,1459291,0.10063854,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1459292.png,4.3429294,,17589641000.0,1816018.6,171582930000.0,,1.1676896,31311135000.0,2.422991e-06,183.8525,10.290052000000001,0.6958488687242422,,,0.7171576728850142,,,,,galface_1459292.png,RefL0050N0752galface_1459292.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_1459292.png,0.40355359064032503,0.695581809232337,1.478345989839147,9.762233114756588,0.000662394304885669,0.000662394304885669,4.7047692838202864e-05,28.801821973935215,0.0,0.0,13,57.59675598144531,23.243377685546875,5158.190630128562,3587.9435708701135,0.6301712829625928,0.09079444408416748,2.1543803338351264,88.51098901098901,32.81868131868132,0.22107419767255082,,,,,,,
88271,316,1459291,1459293,1459292,0.18270987,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1459293.png,4.3188233,,17058364000.0,1816018.6,169837820000.0,,1.3940403000000001,30138685000.0,1.705651e-06,183.5501,9.348018,0.6973392969122867,,,0.7214248339300001,,,,,galface_1459293.png,RefL0050N0752galface_1459293.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_1459293.png,0.37125972827664006,0.6064110362051465,1.38143364922585,7.572408463716727,5.956152236299278e-05,5.956152236299278e-05,6.102300661775152e-05,5.10851471915514,0.0,0.0,28,58.500099182128906,21.718730926513672,6265.394158756072,3799.404164044942,0.5541953423674713,0.08483879268169403,2.1615445515165006,91.49726775956285,33.814207650273225,0.23181259061452775,,,,,,,
88272,317,1459291,1459294,1459293,0.27090108,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1459294.png,4.380349,,16270636000.0,1816018.6,170700690000.0,,1.8710753,28589190000.0,1.0534422e-06,183.04753,10.222038000000001,0.6742360090308421,,,0.7231825759187573,,,,,galface_1459294.png,RefL0050N0752galface_1459294.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_1459294.png,0.2908439896996495,0.5228049528143336,1.220668000657965,2.199952495752594,0.00825022121102277,0.00825022121102277,0.00015239594720513686,0.0775117804701678,122546928635931.9,0.0,54,63.95585250854492,18.60117530822754,6130.821087286414,3205.223629251895,0.4676640736968545,0.07266084104776382,2.050872325445246,89.51351351351352,34.810810810810814,0.2540456121563803,,,,,,,
