,Unnamed: 0,z,Z,face,mass,DiscToTotal,HalfMassRadius,VelDisp,BHmass,SFR,name1,filename,image,btdradius,btdintensity,n_total,n_disca,n_bulgea,n_disc,n_bulge,n_bulge_exp,n_total_error,n_disca_error,n_bulgea_error,n_disc_error,n_bulge_error,n_bulge_exp_error,star_count,discradius,bulgeradius,disc_intensity,bulge_intensity,btotalintensity,btotalradius,con,r80,r20,asymm
16,16,2.220446e-16,0.021107732999999997,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917940.png,12947725000.0,0.7171663920383866,3.4028160000000005,77.42498,1775243.8,0.9086927,galface_917940.png,RecalL0025N0752galface_917940.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_917940.png,0.23067512204959154,0.5699691633438306,0.9840145689085773,0.8074059444967882,1.1245394937960256,0.7675029603060064,1.1477905772111066,1.1477905772111066,0.0001440684407232967,5.492216998536446,0.6206937928875251,0.00024101590717427767,0.0028098601582182397,0.006461010035700317,122,66.35813903808594,15.307171821594238,3871.442065991733,2206.6025952874193,0.35857537995994565,0.05979363992810249,1.3274583514249607,128.2912087912088,69.61538461538461,0.2571635160665102
17,17,2.220446e-16,0.019577821999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_886392.png,13111634000.0,0.3551474545038269,3.7677307,78.44726,4336659.5,0.7902942,galface_886392.png,RecalL0025N0752galface_886392.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_886392.png,0.20032669548221108,0.49393984347672565,0.9852052335280623,0.7678407733473096,1.207068837549476,0.7213471433919106,1.229074864369164,1.229074864369164,0.00017112861558409525,1.8920522190534224,0.5358584700021788,0.00031302513893950544,0.0030532681709203686,0.0031308621299672244,108,70.9786376953125,14.218915939331055,4107.303986061268,2028.7610879864342,0.367196225276746,0.05554264038801193,1.35417605153615,124.31318681318682,66.63186813186813,0.19877590741625079
18,18,2.220446e-16,0.024486308999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_833288.png,13250019000.0,0.6452039586172235,1.8943385,81.010475,6106908.5,0.59367645,galface_833288.png,RecalL0025N0752galface_833288.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_833288.png,0.19944322867725256,0.5962404615729158,1.015872749219626,0.894410247143104,1.3497988825520708,0.8137501370669038,1.337335062931831,1.337335062931831,0.00034098248107530994,2.3023822682642203,0.9208519845507286,0.00046080222322285303,0.008775552934403047,0.009975530997609658,65,75.7925796508789,15.116316795349121,2868.329595716128,1710.2141620930392,0.48134754505287636,0.059048112481832504,1.469257055184289,119.34065934065934,60.66483516483517,0.2483988484402442
19,19,2.220446e-16,0.018259035,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_709787.png,13551484000.0,0.6192868233847348,5.737373000000001,84.33382399999999,2512928.0,1.6830375,galface_709787.png,RecalL0025N0752galface_709787.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_709787.png,0.1408078432007644,0.38490655621963066,1.344154853996844,1.0407399742815977,2.5368280725974635,1.0717655228418632,2.353523711308135,2.353523711308135,0.0002503340295056167,1.1766073736491378,96.1053912705568,0.0012624655399170587,0.006032008030190268,0.008234882201167937,129,94.21958923339844,13.266857147216797,5026.458502769016,1934.7168322817029,0.31856956387466573,0.05182366073131561,1.6524248750112842,121.32967032967034,56.68681318681319,0.2806681959749173
20,20,2.220446e-16,0.019084621,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_642129.png,13584497000.0,0.6947810531658751,5.2435849999999995,79.59165,1654445.1,1.3904504,galface_642129.png,RecalL0025N0752galface_642129.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_642129.png,0.19310307412087435,0.39551449490720214,1.414155530430513,1.2516034271592946,0.48515871685293543,1.413310306309052,0.0021390065653640253,0.0021390065653640253,0.00048665123608698904,2.920099668968206,2584.1618804775535,0.002143754668985135,0.0,0.0,79,70.43684387207031,13.601571083068848,4963.95591852528,1963.3165178571428,0.34417516465760634,0.053131137043237686,1.8808563195493297,106.41208791208791,44.752747252747255,0.20335404280863867
21,21,2.220446e-16,0.017430674,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754151.png,13952908000.0,0.6946117094564586,5.750483,77.57927,3713292.8,1.4327581,galface_754151.png,RecalL0025N0752galface_754151.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_754151.png,0.23118889501021145,0.4986411522732583,1.1653459148963197,0.8148003502559856,0.7972295878425381,0.7761387822708179,0.7810106773400213,0.7810106773400213,0.00016317314348598087,7.8810530384820465,0.20953619425839842,0.0005607215039777306,0.0009549059359110439,0.002392937226124481,140,66.27885437011719,15.322935104370117,4603.493039223482,2295.4910735603207,0.34592751761601903,0.05985521525144577,1.404133047878471,125.3076923076923,65.63736263736264,0.29112381357042416
22,22,2.220446e-16,0.016142643999999998,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878368.png,14598747000.0,0.6183169055805271,6.2765580000000005,79.60713,1611158.8,2.3157200000000002,galface_878368.png,RecalL0025N0752galface_878368.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_878368.png,0.1745119477326468,0.3326700834722623,1.3114407780745954,1.3270783980997252,0.010000000000000002,1.4235418096002992,0.00016785047614909648,0.00016785047614909648,0.00014179681125109722,3.449293548521064,3.4003091594937268e+16,0.0019084866199348142,0.0,91910196476948.89,93,69.29890441894531,12.093486785888672,6341.478894329233,2109.6203131140956,0.2722177776265513,0.047240182757377625,1.7705421957370042,112.37912087912088,49.72527472527473,0.2446158015627425
23,23,2.220446e-16,0.019744815,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_646493.png,14780843000.0,0.777138899178698,4.9448123,84.41445999999999,1138628.6,0.37246987,galface_646493.png,RecalL0025N0752galface_646493.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_646493.png,0.2618323878422287,0.5317823886571972,1.7605879157238293,1.918693005158309,1.4460051674744079,1.9530180163405204,0.010745768832761526,0.010745768832761526,0.0003202098268978926,11.96174172384024,4.03302818234703e+22,0.0028374815713604856,1510347384202.8052,0.0,8,65.52491760253906,17.156545639038086,4446.544318926302,2364.593959188719,0.4582912886599758,0.06701775640249252,1.8591860305391625,112.37912087912088,47.73626373626374,0.13535041176168114
24,24,2.220446e-16,0.023209319,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_912390.png,14965153000.0,0.5670928687472263,3.256752,86.929924,7567917.5,0.4729184,galface_912390.png,RecalL0025N0752galface_912390.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_912390.png,0.16089938349588667,0.4492598447120974,0.8917992569215785,0.8562461745605616,1.2403723349648696,0.8050940072441227,1.408028415673767,1.408028415673767,0.00016008500310694598,0.28877520823925024,1.034714469888421,0.000210189492875976,0.013472081054611354,0.008654957841133975,51,82.81395721435547,13.324714660644531,3650.6143181607745,1640.0744216806688,0.3925420642997447,0.0520496666431427,1.58558407778718,109.3956043956044,52.70879120879121,0.2057935222215471
25,25,2.220446e-16,0.016656958,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_746518.png,15302997000.0,0.5012489502131887,4.3223400000000005,82.22694399999999,3006527.2,4.37122,galface_746518.png,RecalL0025N0752galface_746518.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRecalL0025N0752/RecalL0025N0752galface_746518.png,0.30573188138511354,0.5922323944437071,1.9034191990155536,1.9999999999999998,0.010000000001731152,2.9505764136994865,0.00011521200445578639,0.00011521200445578639,0.0004821265724269814,299.17945786298407,93028022754300.17,0.0882442993562178,0.0,0.0,72,63.73784255981445,19.486690521240234,5710.235590928582,3381.786496853311,0.49783410241856296,0.07611988484859467,1.9808187532311725,121.33695652173913,48.733695652173914,0.30150873570585623
